,game_id,home_team,home_id,home_score,away_team,away_id,away_score,home_win,num_ots,is_conference,is_postseason,game_day,game_time,game_location,arena,arena_capacity,attendance
0,gid_401559236,Tampa Bay Lightning,tid_20,5,Nashville Predators,tid_27,3,True,0,False,False,"October 10, 2023",05:30 PM EDT,"Tampa, FL",Amalie Arena,19092,19092
1,gid_401559237,Pittsburgh Penguins,tid_16,2,Chicago Blackhawks,tid_4,4,False,0,False,False,"October 10, 2023",08:00 PM EDT,"Pittsburgh, PA",PPG Paints Arena,18187,18411
2,gid_401559238,Vegas Golden Knights,tid_37,4,Seattle Kraken,tid_124292,1,True,0,False,False,"October 10, 2023",11:14 PM EDT,"Las Vegas, NV",T-Mobile Arena,17367,18724
3,gid_401559239,Toronto Maple Leafs,tid_21,6,Montreal Canadiens,tid_10,5,True,2,False,False,"October 11, 2023",07:00 PM EDT,"Toronto, ON",Scotiabank Arena,18819,18948
4,gid_401559240,Carolina Hurricanes,tid_7,5,Ottawa Senators,tid_14,3,True,0,False,False,"October 11, 2023",07:00 PM EDT,"Raleigh, NC",PNC Arena,18680,18893
5,gid_401559241,Boston Bruins,tid_1,3,Chicago Blackhawks,tid_4,1,True,0,False,False,"October 11, 2023",07:30 PM EDT,"Boston, MA",TD Garden,17850,17565
6,gid_401559242,Calgary Flames,tid_3,5,Winnipeg Jets,tid_28,3,True,0,False,False,"October 11, 2023",10:00 PM EDT,"Calgary, AB",Scotiabank Saddledome,19289,17414
7,gid_401559243,Vancouver Canucks,tid_22,8,Edmonton Oilers,tid_6,1,True,0,False,False,"October 11, 2023",10:00 PM EDT,"Vancouver, BC",Rogers Arena,18910,18706
8,gid_401559244,Los Angeles Kings,tid_8,2,Colorado Avalanche,tid_17,5,False,0,False,False,"October 11, 2023",10:00 PM EDT,"Los Angeles, CA",crypto.com Arena,18230,18145
9,gid_401559245,Buffalo Sabres,tid_2,1,New York Rangers,tid_13,5,False,0,False,False,"October 12, 2023",07:00 PM EDT,"Buffalo, NY",KeyBank Center,19070,19070
10,gid_401559248,Columbus Blue Jackets,tid_29,2,Philadelphia Flyers,tid_15,4,False,0,False,False,"October 12, 2023",07:00 PM EDT,"Columbus, OH",Nationwide Arena,18144,18614
11,gid_401559247,New Jersey Devils,tid_11,4,Detroit Red Wings,tid_5,3,True,0,False,False,"October 12, 2023",07:30 PM EDT,"Newark, NJ",Prudential Center,16514,16514
12,gid_401559249,Nashville Predators,tid_27,3,Seattle Kraken,tid_124292,0,True,0,False,False,"October 12, 2023",08:00 PM EDT,"Nashville, TN",Bridgestone Arena,17113,17629
13,gid_401559250,Dallas Stars,tid_9,2,St. Louis Blues,tid_19,1,True,2,False,False,"October 12, 2023",08:00 PM EDT,"Dallas, TX",American Airlines Center,18532,18532
14,gid_401559251,Minnesota Wild,tid_30,2,Florida Panthers,tid_26,0,True,0,False,False,"October 12, 2023",08:00 PM EDT,"Saint Paul, MN",Xcel Energy Center,17954,18976
15,gid_401559252,San Jose Sharks,tid_18,1,Vegas Golden Knights,tid_37,4,False,0,False,False,"October 12, 2023",10:30 PM EDT,"San Jose, CA",SAP Center at San Jose,17562,17435
16,gid_401559253,New Jersey Devils,tid_11,3,Arizona Coyotes,tid_24,4,False,2,False,False,"October 13, 2023",07:00 PM EDT,"Newark, NJ",Prudential Center,16514,16514
17,gid_401559254,Washington Capitals,tid_23,0,Pittsburgh Penguins,tid_16,4,False,0,False,False,"October 13, 2023",07:30 PM EDT,"Washington, DC",Capital One Arena,18506,18573
18,gid_401559255,Ottawa Senators,tid_14,5,Philadelphia Flyers,tid_15,2,True,0,False,False,"October 14, 2023",01:00 PM EDT,"Ottawa, ON",Canadian Tire Centre,19153,20011
19,gid_401559256,Winnipeg Jets,tid_28,6,Florida Panthers,tid_26,4,True,0,False,False,"October 14, 2023",04:00 PM EDT,"Winnipeg, MB",Canada Life Centre,15004,13410
20,gid_401559257,Boston Bruins,tid_1,3,Nashville Predators,tid_27,2,True,0,False,False,"October 14, 2023",07:00 PM EDT,"Boston, MA",TD Garden,17850,17850
21,gid_401559258,Toronto Maple Leafs,tid_21,7,Minnesota Wild,tid_30,4,True,0,False,False,"October 14, 2023",07:00 PM EDT,"Toronto, ON",Scotiabank Arena,18819,18903
22,gid_401559259,Montreal Canadiens,tid_10,3,Chicago Blackhawks,tid_4,2,True,0,False,False,"October 14, 2023",07:00 PM EDT,"Montreal, QC",Bell Centre,21273,21105
23,gid_401559260,Detroit Red Wings,tid_5,6,Tampa Bay Lightning,tid_20,4,True,0,False,False,"October 14, 2023",07:00 PM EDT,"Detroit, MI",Little Caesars Arena,19515,19515
24,gid_401559261,Pittsburgh Penguins,tid_16,5,Calgary Flames,tid_3,2,True,0,False,False,"October 14, 2023",07:00 PM EDT,"Pittsburgh, PA",PPG Paints Arena,18187,17635
25,gid_401559262,Columbus Blue Jackets,tid_29,5,New York Rangers,tid_13,3,True,0,False,False,"October 14, 2023",07:00 PM EDT,"Columbus, OH",Nationwide Arena,18144,16520
26,gid_401559263,New York Islanders,tid_12,3,Buffalo Sabres,tid_2,2,True,0,False,False,"October 14, 2023",07:30 PM EDT,"Elmont, NY",UBS Arena,17113,17255
27,gid_401559264,St. Louis Blues,tid_19,2,Seattle Kraken,tid_124292,1,True,2,False,False,"October 14, 2023",08:00 PM EDT,"Saint Louis, MO",Enterprise Center,18096,18096
28,gid_401559265,Edmonton Oilers,tid_6,3,Vancouver Canucks,tid_22,4,False,0,False,False,"October 14, 2023",10:00 PM EDT,"Edmonton, AB",Rogers Place,18641,18347
29,gid_401559266,Vegas Golden Knights,tid_37,4,Anaheim Ducks,tid_25,1,True,0,False,False,"October 14, 2023",10:00 PM EDT,"Las Vegas, NV",T-Mobile Arena,17367,18033
30,gid_401559267,San Jose Sharks,tid_18,1,Colorado Avalanche,tid_17,2,False,2,False,False,"October 14, 2023",10:00 PM EDT,"San Jose, CA",SAP Center at San Jose,17562,17435
31,gid_401559268,Los Angeles Kings,tid_8,5,Carolina Hurricanes,tid_7,6,False,2,False,False,"October 14, 2023",10:30 PM EDT,"Los Angeles, CA",crypto.com Arena,18230,17517
32,gid_401559246,Ottawa Senators,tid_14,5,Tampa Bay Lightning,tid_20,2,True,0,False,False,"October 15, 2023",07:00 PM EDT,"Ottawa, ON",Canadian Tire Centre,19153,15584
33,gid_401559269,Anaheim Ducks,tid_25,6,Carolina Hurricanes,tid_7,3,True,0,False,False,"October 15, 2023",08:30 PM EDT,"Anaheim, CA",Honda Center,17174,17278
34,gid_401559270,Toronto Maple Leafs,tid_21,1,Chicago Blackhawks,tid_4,4,False,0,False,False,"October 16, 2023",07:00 PM EDT,"Toronto, ON",Scotiabank Arena,18819,19101
35,gid_401559271,New Jersey Devils,tid_11,3,Florida Panthers,tid_26,4,False,0,False,False,"October 16, 2023",07:00 PM EDT,"Newark, NJ",Prudential Center,16514,15023
36,gid_401559272,New York Rangers,tid_13,2,Arizona Coyotes,tid_24,1,True,0,False,False,"October 16, 2023",07:00 PM EDT,"New York, NY",Madison Square Garden,18006,18006
37,gid_401559273,Washington Capitals,tid_23,3,Calgary Flames,tid_3,2,True,2,False,False,"October 16, 2023",07:00 PM EDT,"Washington, DC",Capital One Arena,18506,16489
38,gid_401559274,Columbus Blue Jackets,tid_29,0,Detroit Red Wings,tid_5,4,False,0,False,False,"October 16, 2023",07:00 PM EDT,"Columbus, OH",Nationwide Arena,18144,14959
39,gid_401559277,Philadelphia Flyers,tid_15,2,Vancouver Canucks,tid_22,0,True,0,False,False,"October 17, 2023",06:00 PM EDT,"Philadelphia, PA",Wells Fargo Center,19538,18883
40,gid_401559276,Montreal Canadiens,tid_10,2,Minnesota Wild,tid_30,5,False,0,False,False,"October 17, 2023",07:00 PM EDT,"Montreal, QC",Bell Centre,21273,21105
41,gid_401559275,Buffalo Sabres,tid_2,3,Tampa Bay Lightning,tid_20,2,True,1,False,False,"October 17, 2023",07:30 PM EDT,"Buffalo, NY",KeyBank Center,19070,12598
42,gid_401559278,New York Islanders,tid_12,1,Arizona Coyotes,tid_24,0,True,0,False,False,"October 17, 2023",07:30 PM EDT,"Elmont, NY",UBS Arena,17113,14456
43,gid_401559279,Nashville Predators,tid_27,1,Edmonton Oilers,tid_6,6,False,0,False,False,"October 17, 2023",08:00 PM EDT,"Nashville, TN",Bridgestone Arena,17113,17216
44,gid_401559280,Winnipeg Jets,tid_28,1,Los Angeles Kings,tid_8,5,False,0,False,False,"October 17, 2023",08:00 PM EDT,"Winnipeg, MB",Canada Life Centre,15004,11226
45,gid_401559281,Seattle Kraken,tid_124292,1,Colorado Avalanche,tid_17,4,False,0,False,False,"October 17, 2023",10:00 PM EDT,"Seattle, WA",Climate Pledge Arena,17100,17151
46,gid_401559282,Vegas Golden Knights,tid_37,3,Dallas Stars,tid_9,2,True,2,False,False,"October 17, 2023",10:30 PM EDT,"Las Vegas, NV",T-Mobile Arena,17367,17612
47,gid_401559283,San Jose Sharks,tid_18,3,Carolina Hurricanes,tid_7,6,False,0,False,False,"October 17, 2023",10:30 PM EDT,"San Jose, CA",SAP Center at San Jose,17562,10378
48,gid_401559284,Ottawa Senators,tid_14,6,Washington Capitals,tid_23,1,True,0,False,False,"October 18, 2023",07:00 PM EDT,"Ottawa, ON",Canadian Tire Centre,19153,15021
49,gid_401559285,Detroit Red Wings,tid_5,6,Pittsburgh Penguins,tid_16,3,True,0,False,False,"October 18, 2023",07:30 PM EDT,"Detroit, MI",Little Caesars Arena,19515,18895
50,gid_401559286,Buffalo Sabres,tid_2,3,Calgary Flames,tid_3,4,False,0,False,False,"October 19, 2023",07:00 PM EDT,"Buffalo, NY",KeyBank Center,19070,13025
51,gid_401559287,Tampa Bay Lightning,tid_20,4,Vancouver Canucks,tid_22,3,True,0,False,False,"October 19, 2023",07:00 PM EDT,"Tampa, FL",Amalie Arena,19092,19092
52,gid_401559288,Florida Panthers,tid_26,3,Toronto Maple Leafs,tid_21,1,True,0,False,False,"October 19, 2023",07:00 PM EDT,"Sunrise, FL",Amerant Bank Arena,17040,19288
53,gid_401559289,New York Rangers,tid_13,1,Nashville Predators,tid_27,4,False,0,False,False,"October 19, 2023",07:00 PM EDT,"New York, NY",Madison Square Garden,18006,18006
54,gid_401559290,Philadelphia Flyers,tid_15,4,Edmonton Oilers,tid_6,1,True,0,False,False,"October 19, 2023",07:30 PM EDT,"Philadelphia, PA",Wells Fargo Center,19538,17590
55,gid_401559291,St. Louis Blues,tid_19,2,Arizona Coyotes,tid_24,6,False,0,False,False,"October 19, 2023",08:00 PM EDT,"Saint Louis, MO",Enterprise Center,18096,18096
56,gid_401559292,Minnesota Wild,tid_30,3,Los Angeles Kings,tid_8,7,False,0,False,False,"October 19, 2023",08:00 PM EDT,"Saint Paul, MN",Xcel Energy Center,17954,18689
57,gid_401559293,Winnipeg Jets,tid_28,3,Vegas Golden Knights,tid_37,5,False,0,False,False,"October 19, 2023",08:00 PM EDT,"Winnipeg, MB",Canada Life Centre,15004,11521
58,gid_401559294,Anaheim Ducks,tid_25,2,Dallas Stars,tid_9,3,False,0,False,False,"October 19, 2023",10:00 PM EDT,"Anaheim, CA",Honda Center,17174,14274
59,gid_401559295,Seattle Kraken,tid_124292,7,Carolina Hurricanes,tid_7,4,True,0,False,False,"October 19, 2023",10:00 PM EDT,"Seattle, WA",Climate Pledge Arena,17100,17151
60,gid_401559296,Colorado Avalanche,tid_17,4,Chicago Blackhawks,tid_4,0,True,0,False,False,"October 19, 2023",10:30 PM EDT,"Denver, CO",Ball Arena,18007,18140
61,gid_401559297,San Jose Sharks,tid_18,1,Boston Bruins,tid_1,3,False,0,False,False,"October 19, 2023",10:30 PM EDT,"San Jose, CA",SAP Center at San Jose,17562,12501
62,gid_401559298,Columbus Blue Jackets,tid_29,3,Calgary Flames,tid_3,1,True,0,False,False,"October 20, 2023",07:00 PM EDT,"Columbus, OH",Nationwide Arena,18144,16276
63,gid_401559299,New York Islanders,tid_12,4,New Jersey Devils,tid_11,5,False,1,False,False,"October 20, 2023",07:30 PM EDT,"Elmont, NY",UBS Arena,17113,17255
64,gid_401559300,Ottawa Senators,tid_14,2,Detroit Red Wings,tid_5,5,False,0,False,False,"October 21, 2023",01:00 PM EDT,"Ottawa, ON",Canadian Tire Centre,19153,18834
65,gid_401559301,Arizona Coyotes,tid_24,2,Anaheim Ducks,tid_25,1,True,0,False,False,"October 21, 2023",04:00 PM EDT,"Tempe, AZ",Mullett Arena,4400,4600
66,gid_401559302,Buffalo Sabres,tid_2,3,New York Islanders,tid_12,1,True,0,False,False,"October 21, 2023",07:00 PM EDT,"Buffalo, NY",KeyBank Center,19070,16179
67,gid_401559303,Montreal Canadiens,tid_10,3,Washington Capitals,tid_23,2,True,1,False,False,"October 21, 2023",07:00 PM EDT,"Montreal, QC",Bell Centre,21273,21105
68,gid_401559304,Tampa Bay Lightning,tid_20,3,Toronto Maple Leafs,tid_21,4,False,1,False,False,"October 21, 2023",07:00 PM EDT,"Tampa, FL",Amalie Arena,19092,19092
69,gid_401559305,Florida Panthers,tid_26,3,Vancouver Canucks,tid_22,5,False,0,False,False,"October 21, 2023",07:00 PM EDT,"Sunrise, FL",Amerant Bank Arena,17040,16991
70,gid_401559306,Chicago Blackhawks,tid_4,3,Vegas Golden Knights,tid_37,5,False,0,False,False,"October 21, 2023",08:00 PM EDT,"Chicago, IL",United Center,19717,19867
71,gid_401559307,St. Louis Blues,tid_19,4,Pittsburgh Penguins,tid_16,2,True,0,False,False,"October 21, 2023",08:00 PM EDT,"Saint Louis, MO",Enterprise Center,18096,18096
72,gid_401559308,Nashville Predators,tid_27,5,San Jose Sharks,tid_18,1,True,0,False,False,"October 21, 2023",08:00 PM EDT,"Nashville, TN",Bridgestone Arena,17113,17222
73,gid_401559309,Dallas Stars,tid_9,5,Philadelphia Flyers,tid_15,4,True,1,False,False,"October 21, 2023",08:00 PM EDT,"Dallas, TX",American Airlines Center,18532,18532
74,gid_401559310,Minnesota Wild,tid_30,4,Columbus Blue Jackets,tid_29,5,False,1,False,False,"October 21, 2023",08:00 PM EDT,"Saint Paul, MN",Xcel Energy Center,17954,18479
75,gid_401559311,Colorado Avalanche,tid_17,6,Carolina Hurricanes,tid_7,4,True,0,False,False,"October 21, 2023",09:00 PM EDT,"Denver, CO",Ball Arena,18007,18131
76,gid_401559312,Edmonton Oilers,tid_6,2,Winnipeg Jets,tid_28,3,False,1,False,False,"October 21, 2023",10:00 PM EDT,"Edmonton, AB",Rogers Place,18641,18347
77,gid_401559313,Seattle Kraken,tid_124292,1,New York Rangers,tid_13,4,False,0,False,False,"October 21, 2023",10:00 PM EDT,"Seattle, WA",Climate Pledge Arena,17100,17151
78,gid_401559314,Los Angeles Kings,tid_8,2,Boston Bruins,tid_1,4,False,0,False,False,"October 21, 2023",10:30 PM EDT,"Los Angeles, CA",crypto.com Arena,18230,18145
79,gid_401559315,Detroit Red Wings,tid_5,6,Calgary Flames,tid_3,2,True,0,False,False,"October 22, 2023",05:00 PM EDT,"Detroit, MI",Little Caesars Arena,19515,17626
80,gid_401559316,Anaheim Ducks,tid_25,1,Boston Bruins,tid_1,3,False,0,False,False,"October 22, 2023",08:30 PM EDT,"Anaheim, CA",Honda Center,17174,14264
81,gid_401559317,Buffalo Sabres,tid_2,1,Montreal Canadiens,tid_10,3,False,0,False,False,"October 23, 2023",07:00 PM EDT,"Buffalo, NY",KeyBank Center,19070,13507
82,gid_401559318,Washington Capitals,tid_23,1,Toronto Maple Leafs,tid_21,4,False,0,False,False,"October 24, 2023",06:00 PM EDT,"Washington, DC",Capital One Arena,18506,16641
83,gid_401559320,Ottawa Senators,tid_14,4,Buffalo Sabres,tid_2,6,False,0,False,False,"October 24, 2023",06:45 PM EDT,"Ottawa, ON",Canadian Tire Centre,19153,14278
84,gid_401559321,Tampa Bay Lightning,tid_20,3,Carolina Hurricanes,tid_7,0,True,0,False,False,"October 24, 2023",07:00 PM EDT,"Tampa, FL",Amalie Arena,19092,19092
85,gid_401559322,Montreal Canadiens,tid_10,2,New Jersey Devils,tid_11,5,False,0,False,False,"October 24, 2023",07:15 PM EDT,"Montreal, QC",Bell Centre,21273,21105
86,gid_401559323,Pittsburgh Penguins,tid_16,1,Dallas Stars,tid_9,4,False,0,False,False,"October 24, 2023",07:30 PM EDT,"Pittsburgh, PA",PPG Paints Arena,18187,17209
87,gid_401559324,Florida Panthers,tid_26,3,San Jose Sharks,tid_18,1,True,0,False,False,"October 24, 2023",07:45 PM EDT,"Sunrise, FL",Amerant Bank Arena,17040,16142
88,gid_401559325,New York Islanders,tid_12,4,Colorado Avalanche,tid_17,7,False,0,False,False,"October 24, 2023",08:00 PM EDT,"Elmont, NY",UBS Arena,17113,14856
89,gid_401559326,Detroit Red Wings,tid_5,4,Seattle Kraken,tid_124292,5,False,1,False,False,"October 24, 2023",08:15 PM EDT,"Detroit, MI",Little Caesars Arena,19515,16894
90,gid_401559319,Columbus Blue Jackets,tid_29,2,Anaheim Ducks,tid_25,3,False,1,False,False,"October 24, 2023",08:30 PM EDT,"Columbus, OH",Nationwide Arena,18144,16432
91,gid_401559327,Chicago Blackhawks,tid_4,0,Boston Bruins,tid_1,3,False,0,False,False,"October 24, 2023",08:45 PM EDT,"Chicago, IL",United Center,19717,19370
92,gid_401559328,Winnipeg Jets,tid_28,4,St. Louis Blues,tid_19,2,True,0,False,False,"October 24, 2023",08:45 PM EDT,"Winnipeg, MB",Canada Life Centre,15004,11136
93,gid_401559329,Minnesota Wild,tid_30,7,Edmonton Oilers,tid_6,4,True,0,False,False,"October 24, 2023",09:00 PM EDT,"Saint Paul, MN",Xcel Energy Center,17954,17064
94,gid_401559330,Nashville Predators,tid_27,2,Vancouver Canucks,tid_22,3,False,0,False,False,"October 24, 2023",09:15 PM EDT,"Nashville, TN",Bridgestone Arena,17113,17159
95,gid_401559331,Calgary Flames,tid_3,1,New York Rangers,tid_13,3,False,0,False,False,"October 24, 2023",09:45 PM EDT,"Calgary, AB",Scotiabank Saddledome,19289,16800
96,gid_401559332,Los Angeles Kings,tid_8,6,Arizona Coyotes,tid_24,3,True,0,False,False,"October 24, 2023",10:30 PM EDT,"Los Angeles, CA",crypto.com Arena,18230,17668
